PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35672959","Coverage of Clinical Research Data Retrieved from Standardized Structured Medical Information eXchange Storage","Nakayama M, Hui F, Inoue R.","Stud Health Technol Inform. 2022 Jun 6;290:3-6. doi: 10.3233/SHTI220020.","Nakayama M","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220020"
"35537457","Reproducibility of 20-min Time-trial Performance on a Virtual Cycling Platform","Matta G, Edwards A, Roelands B, Hettinga F, Hurst P.","Int J Sports Med. 2022 Dec;43(14):1190-1195. doi: 10.1055/a-1848-8478. Epub 2022 May 10.","Matta G","Int J Sports Med","2022","2022/05/10","","","10.1055/a-1848-8478"
"31007428","Storage, Degradation, and New Connectivity of Face-Related Semantic Memory in Alzheimer's Disease","Pal S, Sengupta P, Ghosal M, Pal A, Acharya R, Biswas D.","Ann Indian Acad Neurol. 2019 Apr-Jun;22(2):170-174. doi: 10.4103/aian.AIAN_185_18.","Pal S","Ann Indian Acad Neurol","2019","2019/04/23","PMC6472242","","10.4103/aian.AIAN_185_18"
"36477137","A new microfluidic platform for the highly reproducible preparation of non-viral gene delivery complexes","Protopapa G, Bono N, Visone R, D'Alessandro F, Rasponi M, Candiani G.","Lab Chip. 2022 Dec 20;23(1):136-145. doi: 10.1039/d2lc00744d.","Protopapa G","Lab Chip","2022","2022/12/08","","","10.1039/d2lc00744d"
"33649239","A versatile platform for locus-scale genome rewriting and verification","Brosh R, Laurent JM, Ordoñez R, Huang E, Hogan MS, Hitchcock AM, Mitchell LA, Pinglay S, Cadley JA, Luther RD, Truong DM, Boeke JD, Maurano MT.","Proc Natl Acad Sci U S A. 2021 Mar 9;118(10):e2023952118. doi: 10.1073/pnas.2023952118.","Brosh R","Proc Natl Acad Sci U S A","2021","2021/03/02","PMC7958457","","10.1073/pnas.2023952118"
"30351300","The Dat Project, an open and decentralized research data tool","Robinson DC, Hand JA, Madsen MB, McKelvey KR.","Sci Data. 2018 Oct 23;5:180221. doi: 10.1038/sdata.2018.221.","Robinson DC","Sci Data","2018","2018/10/24","PMC6198755","","10.1038/sdata.2018.221"
"34171651","The instrumented sheep knee to elucidate insights into osteoarthritis development and progression: A sensitive and reproducible platform for integrated research efforts","Hart DA, Martin CR, Scott M, Shrive NG.","Clin Biomech (Bristol). 2021 Jul;87:105404. doi: 10.1016/j.clinbiomech.2021.105404. Epub 2021 Jun 8.","Hart DA","Clin Biomech (Bristol)","2021","2021/06/25","","","10.1016/j.clinbiomech.2021.105404"
"38144826","Verification of rice quality during storage after drying with hot air and radio frequency heating","Chitsuthipakorn K, Thanapornpoonpong SN.","Food Chem X. 2023 Sep 16;20:100882. doi: 10.1016/j.fochx.2023.100882. eCollection 2023 Dec 30.","Chitsuthipakorn K","Food Chem X","2023","2023/12/25","PMC10739985","","10.1016/j.fochx.2023.100882"
"37887112","A Nanozymatic-Mediated Smartphone Colorimetric Sensing Platform for the Detection of Dimethyl Phthalate (DMP) and Dibutyl Phthalate (DBP)","Li W, Zhang X, Zhang H, Zhang C, Chen Y, Li C, Hu Y, Yu X, Zhang B, Lin X.","Biosensors (Basel). 2023 Oct 8;13(10):919. doi: 10.3390/bios13100919.","Li W","Biosensors (Basel)","2023","2023/10/27","PMC10605576","","10.3390/bios13100919"
"31728526","TerrestrialMetagenomeDB: a public repository of curated and standardized metadata for terrestrial metagenomes","Corrêa FB, Saraiva JP, Stadler PF, da Rocha UN.","Nucleic Acids Res. 2020 Jan 8;48(D1):D626-D632. doi: 10.1093/nar/gkz994.","Corrêa FB","Nucleic Acids Res","2020","2019/11/16","PMC7145636","","10.1093/nar/gkz994"
"36554152","VeVaPy, a Python Platform for Efficient Verification and Validation of Systems Biology Models with Demonstrations Using Hypothalamic-Pituitary-Adrenal Axis Models","Parker C, Nelson E, Zhang T.","Entropy (Basel). 2022 Nov 29;24(12):1747. doi: 10.3390/e24121747.","Parker C","Entropy (Basel)","2022","2022/12/23","PMC9777964","","10.3390/e24121747"
