"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Project-Specific Research Data Management Beyond Repositories for FAIR Research Practice","S. Strohm; Y. Wölker; M. Renz","Department of Computer Science, Kiel University (CAU), Kiel, Germany; Department of Computer Science, Kiel University (CAU), Kiel, Germany; Department of Computer Science, Kiel University (CAU), Kiel, Germany",2024 IEEE 20th International Conference on e-Science (e-Science),"20 Sep 2024","2024","","","1","2","Interdisciplinary research projects aim to answer overarching questions combining research of multiple disciplines. Besides FAIR requirements this requires effective Research Data Management (RDM) to support the synthesis necessary to provide such desired answers and involves integrating data from various disciplines. Research projects benefit from early decision-making on core aspects for organization and management of data. We propose a framework to identify such aspects which require early decisions for successful planning and execution. Following up on our activities and experiences in the interdisciplinary research project CRC 1266 (Scales of Transformation), we propose an approach that focuses on reliability of external repositories and combines it with a project-specific wrapper-like infrastructure consisting of roles, processes and a software system deeply integrated into the research project for FAIR and enriched research data management, presentation and synthesis.","2325-3703","979-8-3503-6561-0","10.1109/e-Science62913.2024.10678716","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678716","FAIR;Interdisciplinarity;Project Management;Research Data Management;Data Integration;Repository;Research Practice","Decision making;Organizations;Software systems;Software reliability;Planning","","","","3","IEEE","20 Sep 2024","16-20 Sept. 2024","16-20 Sept. 2024","IEEE","IEEE Conferences"
"The Approach to Managing Provenance Metadata and Data Access Rights in Distributed Storage Using the Hyperledger Blockchain Platform","A. Demichev; A. Kryukov; N. Prikhodko","Skobeltsyn Institute of Nuclear Physics, Lomonosov Moscow State University, Moscow, Russia; Skobeltsyn Institute of Nuclear Physics, Lomonosov Moscow State University, Moscow, Russia; Yaroslav-the-Wise Novgorod State University, Velikiy Novgorod, Russia",2018 Ivannikov Ispras Open Conference (ISPRAS),"28 Mar 2019","2018","","","131","136","The paper suggests a new approach based on blockchain technologies and smart contracts to creation of a distributed system for managing provenance metadata, as well as access rights to data in distributed storages, which is fault-tolerant, safe and secure from the point of view of preservation of metadata records from accidental or intentional distortions. The implementation of the proposed approach is based on the permissioned blockchains and on the Hyperledger Fabric blockchain platform in conjunction with Hyperledger Composer.","","978-1-7281-1275-6","10.1109/ISPRAS.2018.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8675153","distributed storage, provenance metadata, blockchain, access rights, Hyperledger","Blockchain;Peer-to-peer computing;Distributed databases;Metadata;Permission;Organizations","","18","","12","IEEE","28 Mar 2019","22-23 Nov. 2018","22-23 Nov. 2018","IEEE","IEEE Conferences"
"Proposal for the evaluation of the quality of the Metadata for a Research Data Repository","J. Morales; L. Muñoz; A. Fong","Universidad Tecnológica de Panamá, Panamá, Panamá; Universidad Tecnológica de Panamá, Panamá, Panamá; Universidad Marítima de Panamá, Panamá, Panamá","2022 8th International Engineering, Sciences and Technology Conference (IESTEC)","16 Feb 2023","2022","","","238","243","The article seeks to analyze the current existing rules regarding the normalization of metadata for the publication of research data in a digital / Dataverse repository. For this, it is intended to identify the current proposals related to the generation of metadata for the normalization of research data, as well as to identify the problems linked to the absence of metadata quality standards in digital repositories. The aim is to find possible solutions that allow the improvement of the actual quality of metadata in digital repositories.","","978-1-6654-9843-2","10.1109/IESTEC54539.2022.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10040787","metadata;research data;digital repositories;Dataverse;standard;quality","Metadata;Standards;Software;Proposals;Adaptation models;Visualization;Videos","","","","","IEEE","16 Feb 2023","19-21 Oct. 2022","19-21 Oct. 2022","IEEE","IEEE Conferences"
"Secure and Scalable Data Integrity Verification for Multi-Cloud Storage Using Blockchain-Integrated IPFS","S. Das; M. Mishra; R. Priyadarshini","Postgraduate Department of Computer Science, Fakir Mohan University, Balasore, India; Postgraduate Department of Computer Science, Fakir Mohan University, Balasore, India; Department of Computer Science and Engineering, C.V Raman Global University, Bhubaneswar, India",2025 IEEE 6th India Council International Subsections Conference (INDISCON),"2 Dec 2025","2025","","","1","6","Cloud storage provides unlimited data storage space, convenient and secure access to files, efficient data management, offsite backup capabilities, and cost-effective usage. However, dependence on a single Cloud Storage Provider ($CSP$) introduces challenges such as vendor lock-in, security vulnerabilities, and cost-related issues. Multi-Cloud Storage ($MCS$) provides strategic solutions to these issues by distributing data across different $CSP_{s}$ but suffers from data integrity, availability, and verifiability issues in the absence of trustworthy ThirdParty Auditors ($TPA_{s}$). To address trust issues among entities, blockchain-enabled solutions store metadata of data chunks directly on the blockchain, resulting in scalability challenges. The proposed model integrates blockchain with the Inter Planetary File System (IPFS) to provide a secure and scalable data integrity verification approach for MCS environments. Secure storage of metadata in IPFS improves scalability while effectively detecting malicious CSP in the event of data modification. Experimental results show that the solution is both cost- and storage-efficient, while security vulnerability assessments confirm that the deployed smart contracts are free from vulnerabilities.","","979-8-3315-1504-1","10.1109/INDISCON66021.2025.11252290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11252290","MCS;blockchain;data integrity;malicious CSP identification","Cloud computing;Data integrity;Scalability;Smart contracts;Prototypes;Metadata;Blockchains;InterPlanetary File System;Secure storage;Testing","","","","18","IEEE","2 Dec 2025","21-23 Aug. 2025","21-23 Aug. 2025","IEEE","IEEE Conferences"
"Digital Forensics: Maintaining Chain of Custody Using Blockchain","M. Chopade; S. Khan; U. Shaikh; R. Pawar","Department of Information Technology, Sardar Patel Institute of Technology, Mumbai, India; Department of Information Technology, Sardar Patel Institute of Technology, Mumbai, India; Department of Information Technology, Sardar Patel Institute of Technology, Mumbai, India; Department of Information Technology, Sardar Patel Institute of Technology, Mumbai, India","2019 Third International conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)","12 Mar 2020","2019","","","744","747","The fundamental aim of digital forensics is to discover, investigate and protect an evidence, increasing cybercrime enforces digital forensics team to have more accurate evidence handling. This makes digital evidence as an important factor to link individual with criminal activity. In this procedure of forensics investigation, maintaining integrity of the evidence plays an important role. A chain of custody refers to a process of recording and preserving details of digital evidence from collection to presenting in court of law. It becomes a necessary objective to ensure that the evidence provided to the court remains original and authentic without tampering. Aim is to transfer these digital evidences securely using encryption techniques.","","978-1-7281-4365-1","10.1109/I-SMAC47947.2019.9032693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9032693","blockchain;distributed ledger;hyperledger composer;security;participants;assets;chain of custody;Base64","Digital forensics;Encryption;Conferences;Reliability","","32","","10","IEEE","12 Mar 2020","12-14 Dec. 2019","12-14 Dec. 2019","IEEE","IEEE Conferences"
"Blockchain-Based Chain of Custody Evidence Management System for Digital Forensic Investigations","P. B. Bandara; O. D. Jayarathna; D. T. Hewage; N. P. Bandara; D. Pandithage; D. Siriwardana","Department of Computer Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Systems Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2023 5th International Conference on Advancements in Computing (ICAC),"12 Feb 2024","2023","","","703","708","The demand for digital evidence is increasing worldwide. A reliable digital evidence management system is needed to ensure that justice is served in court. The chain of custody plays a vital role in this process, but people are the weakest link in any trust chain. Blockchain technology can be used to store and analyze digital evidence data in a secure and confidential manner, with proper access control. As digital evidence comes in various forms, blockchain can be dynamically changed to accommodate new data extraction methods. This research paper proposes and develops a blockchain-based digital evidence management system using Hyperledger Fabric.","2837-5424","979-8-3503-5813-1","10.1109/ICAC60630.2023.10417307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417307","Dynamic chaincode,data extraction;Blockchain;Hyperledger Fabric,hybrid access control","Access control;Distributed ledger;Digital forensics;Fabrics;Blockchains;Reliability;Research and development","","5","","11","IEEE","12 Feb 2024","7-8 Dec. 2023","7-8 Dec. 2023","IEEE","IEEE Conferences"
"Blockchain-Based Chain of Custody for Digital Evidence with Hyperledger Fabric","L. Loffi; G. L. Camillo; C. M. Westphall; C. B. Westphall","Department of Post-Graduate Program in Computer Science, Federal University of Santa Catarina (UFSC), Florianópolis, SC, Brazil; Department of Post-Graduate Program in Computer Science, Federal University of Santa Catarina (UFSC), Florianópolis, SC, Brazil; Department of Post-Graduate Program in Computer Science, Federal University of Santa Catarina (UFSC), Florianópolis, SC, Brazil; Department of Post-Graduate Program in Computer Science, Federal University of Santa Catarina (UFSC), Florianópolis, SC, Brazil",2025 International Conference on Information Networking (ICOIN),"14 May 2025","2025","","","437","442","The increasing presence of digital evidence in legal, criminal, and civil cases requires adaptations to traditional chain-of-custody processes to ensure the integrity of this evidence. This work proposes the use of blockchain technology, specifically through Hyperledger Fabric, to strengthen the chain of custody for digital evidence. The developed solution employs smart contracts to immutably record each stage of evidence handling, from collection to transfer of custody, ensuring data authenticity, integrity, and traceability. Our implementation demonstrates that blockchain technology can significantly reduce the risk of evidence tampering, improve process efficiency, and facilitate audits, thereby contributing to greater reliability in the presentation of evidence during judicial proceedings.","2996-1580","979-8-3315-0694-0","10.1109/ICOIN63865.2025.10992690","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992690","Chain of Custody;Blockchain;Hyperledger Fabric;Digital Evidence","Surveys;Accuracy;Distributed ledger;Tracking;Forensics;Data security;Smart contracts;Fabrics;Blockchains;Reliability","","","","30","IEEE","14 May 2025","15-17 Jan. 2025","15-17 Jan. 2025","IEEE","IEEE Conferences"
"Blockchain-Enhanced Chain of Custody for Digital Forensic Evidence Management","R. Mishra; P. Arya; M. Narwaria; I. Kaur","Dept. of CSE, SSCSE, Sharda University, India; Department of Computer Engineering & Applications, GLA University, Mathura; Dept. of CSE, SSCSE, Sharda University, India; Dept. of CSE, SSCSE, Sharda University, India",2025 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS),"17 Feb 2026","2025","","","1","5","The challenges of multi-agency collaboration and evidence integrity are becoming more and more prevalent in digital forensic investigations. In order to create tamper-proof chain of custody records and facilitate safe inter-jurisdictional sharing, this paper presents a blockchain-based evidence management system. Our method automates the tracking and verification of evidence by combining forensic-specific smart contracts with permissioned blockchain networks. Experiments in three law enforcement scenarios show improved legal admissibility, 65 % faster evidence processing, and the removal of documentation gaps. The system supports current forensic workflows while preserving the authenticity of cryptographic proof of evidence. The framework enables real-time tracking, evidence preservation, and interdisciplinary collaboration, providing law enforcement with scalable tools for proactive intervention. This study marks a paradigm shift in digital forensics, bridging technological innovation and investigative integrity to counter evolving cyber threats.","","979-8-3315-5305-0","10.1109/ICBDS67396.2025.11379799","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11379799","Blockchain Forensics;Cybercrime;Tracking;Digital Forensics;Evidence Tracing;IPFS","Training;Technological innovation;Law enforcement;Scalability;Digital forensics;Smart contracts;Collaboration;Solids;Blockchains;Systems support","","","","27","IEEE","17 Feb 2026","30 Oct.-1 Nov. 2025","30 Oct.-1 Nov. 2025","IEEE","IEEE Conferences"
"Digital Institutional Repositories, Component of Open Science to Disseminate Scientific Publications: Case Repository UTP-Ridda2","M. Danny; F. Madelaine; C. Huriviades; S. Dalys","DIGITEC, Universidad Tecnológica de Panamá Panamá, Panamá; DIGITEC, Universidad Tecnológica de Panamá, Panama City, Panama; Dirección de Investigación, Universidad Tecnológica de Panamá, Panama City, Panama; DIGITEC, Universidad Tecnológica de Panamá Panamá, Panamá","2019 7th International Engineering, Sciences and Technology Conference (IESTEC)","30 Dec 2019","2019","","","653","658","In this paper, we present the results obtained through the implementation of an open access institutional repository as a component of open science. Through this implementation, we want to improve the visibility, scope, and measurement of the impact of scientific publications of the Technological University of Panama. We also present the made efforts to measure the results with the used indicators, and the achieved position in the ranking of repositories at an international level. We mention three of the international initiatives that promote repositories and open science, its principles and scope. For last, we mention objectives of the National Secretariat of Science and Technology (SENACYT) related to interest of measuring the science and vision of creating the National Repository of open access scientific publications to disseminate research in Panama.","","978-1-7281-1691-4","10.1109/IESTEC46403.2019.00122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943619","open science;open access;institutional repository","Open Access;Google;Medical services;Object recognition;Irrigation;Silicon compounds;Uniform resource locators","","2","","0","IEEE","30 Dec 2019","9-11 Oct. 2019","9-11 Oct. 2019","IEEE","IEEE Conferences"
"Karna : A Crowdfunding Platform with Decentralized Autonomous Organization Based Verification using Blockchain Technology","A. P. Patil; A. N. G; A. Jain; A. Singh; M. Saran; B. Bhargavi S M","Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India; Information Science and Engineering Dayanand Sagar College of Engineering, Bangalore, India","2024 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)","20 Sep 2024","2024","","","1","5","Karna is a platform designed to streamline and secure crowdfunding for social causes. It operates without the need for a central authority, instead relying on a decentralized autonomous organization (DAO) of anonymous volunteers to validate campaign legitimacy through a voting mechanism using smart contracts. This approach ensures that all funds are directed to genuine causes. Donors can contribute to campaigns without disclosing personal information. By eliminating middlemen and leveraging smart contracts, Karna facilitates transparent crowdfunding.","2766-2101","979-8-3503-8592-2","10.1109/CONECCT62155.2024.10677068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677068","VLSI Design;RISC Architecture;Floating Point Units (FPUs);Verilog;XILINX ISE Design Suite 14.4;Genus;DAO;Blockchain;Smart Contracts;Crowdfunding","Crowdfunding;Decentralized autonomous organization;Face recognition;Disasters;Smart contracts;Very large scale integration;Communications technology","","","","12","IEEE","20 Sep 2024","12-14 July 2024","12-14 July 2024","IEEE","IEEE Conferences"
