"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Vincent K.L.F.C.R.; Anuradha M.P.","Vincent, K. Lino Fathima Chinna Rani (60357534500); Anuradha, M.P. (58485111900)","60357534500; 58485111900","An acceleration of blockchain mining by parallel process and proof-of-luck with fair share technique system","2025","International Journal of System of Systems Engineering","15","6","","511","528","0","10.1504/IJSSE.2025.151319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028874217&doi=10.1504%2FIJSSE.2025.151319&partnerID=40&md5=1a189441da4051ffe5663cf03a50be34","Blockchain plays a vital role in several applications; specifically, cryptocurrency transactions are performed through Blockchain applications. This technique stores network data securely via a distributed ledger. The transactions are part of Bitcoin mining. Miners in the network compute and verify these values. Blockchain networks using proof-of-work (PoW) consensus methods may have scalability issues as transaction volumes climb. The PoW mining mechanism cracks cryptographic riddles to authenticate more transactions and attach them to the Blockchain. When more miners join the network, transaction throughput and efficiency decrease, increasing authentication time and energy consumption. The proof-of-luck fair share parallel mining approach addresses PoW mining’s scalability issue. While retaining network security, this method enhances transactional validation quality and speed. Parallel mining uses several processors and processes to speed up Solo mining. The unique method boosts solo mining to TPS. Validators can mine various test case scenarios utilising the proposed methodologies in the testing environment. Experimental results show that the proposed technique can greatly increase Blockchain TPS. Experimental results show computer power's potential. Copyright © 2025 Inderscience Enterprises Ltd.","blockchain; fair share; miners; parallel mining; proof-of-luck; scalability; TPS; transactions per second; transactions system","","Article","Final","","Scopus","2-s2.0-105028874217"
"Bongiovani P.C.; Pacífico F.D.; Freán P.","Bongiovani, Paola Carolina (55177045400); Pacífico, Fernando Díaz (60006523100); Freán, Paulina (60007195800)","55177045400; 60006523100; 60007195800","FAIR Data in Argentina: Development and challenges of the Academic Data Repository RDA-UNR; [Datos FAIR en Argentina: Desarrollo y desafíos del Repositorio de Datos Académicos RDA-UNR]","2025","Informacion, Cultura y Sociedad","","52","","175","202","0","10.34096/ics.i52.16501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011192552&doi=10.34096%2Fics.i52.16501&partnerID=40&md5=87df08e8849a2da5b0408b9711cfbcf9","The purpose of this article is to present the results of the implementation of an open research data repository for the Universidad Nacional de Rosario (UNR). First, the article explains the process of evaluating, selecting, and deploying the Academic Data Repository UNR (RDA-UNR) using the Dataverse software developed by Harvard University. Secondly, the main activities undertaken by information professionals in collaboration with UNR researchers within an interdisciplinary framework are described. The RDA-UNR was specifically designed to organize, preserve, disseminate, and enhance the visibility of research data generated by UNR researchers, adhering to FAIR principles and international standards aligned with the Open Science framework. Results: The RDA-UNR was officially launched in August 2022 and now supports a research community comprising 12 academic units and 13 UNR-CONICET joint institutes. It includes 66 curated datasets as well as 38 in the process of being curated, making it the first repository of its kind in Argentina. © (2025), (University of Buenos Aires). All rights reserved.","Ciencia abierta; Data repositories; Datos abiertos; FAIR Principles; Open data; Open science; Palabras clave; Principios FAIR; Repositorios de datos","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011192552"
"Shi R.; Cheng R.; Fu Y.; Han B.; Cheng Y.; Chen S.","Shi, Ruizhe (59152970100); Cheng, Ruizhi (57453717000); Fu, Yuqi (58733678000); Han, Bo (35573160100); Cheng, Yue (56022559100); Chen, Songqing (9338029700)","59152970100; 57453717000; 58733678000; 35573160100; 56022559100; 9338029700","Centralization in the Decentralized Web: Challenges and Opportunities in IPFS Data Management","2025","WWW 2025 - Proceedings of the ACM Web Conference","","","","4068","4076","0","10.1145/3696410.3714627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005137901&doi=10.1145%2F3696410.3714627&partnerID=40&md5=7a5a3e2503db4a04c5c120b3d24a749c","The InterPlanetary File System (IPFS) is a pioneering effort for Web 3.0, well-known for its decentralized infrastructure. However, some recent studies have shown that IPFS exhibits a high degree of centralization and has integrated centralized components for improved performance. While this change contradicts the core decentralized ethos of IPFS and introduces risks of hurting the data replication level and thus availability, it also opens some opportunities for better data management and cost savings through deduplication. To explore these challenges and opportunities, we start by collecting an extensive dataset of IPFS internal traffic spanning the last three years with 20+ billion messages. By analyzing this long-term trace, we obtain a more complete and accurate view of how the status of centralization evolves over an extended period. In particular, our study reveals that (1) IPFS shows a low replication level, with only 2.71% of data files replicated more than 5 times. While increasing replication enhances lookup performance and data availability, it adversely affects downloading throughput due to the overhead involved in managing peer connections, (2) there is a clear growing trend in centralization within IPFS in the last 3 years, with just 5% of peers now hosting over 80% of the content, significantly decreasing from 21.38% 3 years ago, which is largely driven by the increase of cloud nodes, (3) the default deduplication strategy of IPFS using Fixed-Size Chunking (FSC) is largely inefficient, especially with the default 256KB chunk size, showing near-zero duplication being detected. Although Content-Defined Chunking (CDC) with smaller chunks could save ∼1.8 petabytes (PB) storage space, it could impact user performance negatively. We thus design and evaluate a new metadata format that optimizes deduplication without compromising performance. © 2025 Copyright held by the owner/author(s).","Deduplication; IPFS; Network Measurement","Data quality; Risk management; Centralisation; Centralized components; Decentralised; Deduplication; Filesystem; Interplanetary file system; Network measurement; Performance; Replication level; Web 3.0; Information management","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105005137901"
"Prayitno; Prasetyo E.; Krisnandi D.; Juliansyah M.A.Y.; Yudantoro T.R.","Prayitno (57219541919); Prasetyo, Eko (59211942400); Krisnandi, Dwi (60430683700); Juliansyah, Maulana Arya Yoga (60430319600); Yudantoro, Tri Raharjo (58614687900)","57219541919; 59211942400; 60430683700; 60430319600; 58614687900","Designing and Implementing a Trustless E-Commerce System with Blockchain-Integrated NFT for Product Verification","2025","ICE3IS 2025 - Conference Proceedings: 5th International Conference on Electronic and Electrical Engineering and Intelligent System","","","","490","495","0","10.1109/ICE3IS66769.2025.11280863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031575206&doi=10.1109%2FICE3IS66769.2025.11280863&partnerID=40&md5=d74f9fca3283a90d0ebb92d9babd6e95","Medium-sized businesses in the apparel sector often face challenges in ensuring product authenticity, manual sales reporting, and inventory management errors. This study designs and implements a blockchain-based e-commerce platform integrated with Non-Fungible Token (NFT) technology to ensure the authenticity of products and enhance customer trust. The system issues digital certificates using NFTs, while blockchain provides transparent and tamper-proof verification. The research employs a mixed-method approachqualitative needs analysis and quantitative system evaluation including NFT generation time, transaction latency, and load testing. Results show that the system achieves an average NFT minting time of 1.8 seconds and supports up to 250 concurrent transactions with 98.7% success rate. User surveys (n=30) indicate 92% satisfaction with usability and trust improvement. This study contributes a novel hybrid model combining ecommerce usability with blockchain immutability, and provides a secure, scalable reference architecture for trustless online retail platforms. © 2025 IEEE.","Authenticity Verification; Blockchain; Non-Fungible Token; Smart Contract; Trustless Ecommerce","Authentication; Electronic commerce; Inventory control; Load testing; Product design; Sales; Smart contract; Verification; Apparel sector; Authenticity verification; Block-chain; E-commerce systems; Inventory management; Medium-sized business; Non-fungible token; Product verification; Study design; Trustless ecommerce; Blockchain","Conference paper","Final","","Scopus","2-s2.0-105031575206"
"Chouke A.; Jain V.K.; Parmar J.; Shukla S.S.P.; Verma A.K.","Chouke, Akshay (59406070600); Jain, Vikas Kumar (57214888824); Parmar, Jitendra (57222137380); Shukla, Shiv Shankar Prasad (54999538000); Verma, Atul Kumar (57225720440)","59406070600; 57214888824; 57222137380; 54999538000; 57225720440","Identity Verification: A Decentralized KYC Approach Using Blockchain","2025","Communications in Computer and Information Science","2195 CCIS","","","252","264","0","10.1007/978-3-031-73494-6_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208726264&doi=10.1007%2F978-3-031-73494-6_19&partnerID=40&md5=8f11375eb8af17d30706362d047738e8","The Know Your Customer (KYC) is a process followed by financial institutions, businesses or banks to verify the identity of their customers or users. Traditional KYC procedures are repetitive, centralized, and highly vulnerable to sensitive data exposure today. This repetitive task reduces the ease of use; due to repetition, it is costlier for banks or financial institutions. There are plenty of papers published to address these issues and propose various solutions, such as storing the user’s data directly on the blockchain, which requires high transaction costs, and storing user details on the IPFS. Then, the hash of the user’s data provided by IPFS is stored on the blockchain. Since the data on IPFS is directly stored, it can be accessed by anyone who has the hash. So, to address this issue, we propose a solution where, before storing the user’s data on the IPFS, it is encrypted using the AES encryption algorithm, and the hash of the encrypted data is provided to the user and stored on the blockchain. This decentralized and secure KYC system minimizes redundancy, enhances user control, and fortifies data security. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","AES; Blockchain; Decentralized; Hash; IPFS; KYC","Blockchain; AES; Block-chain; Centralised; Data exposure; Decentralised; Financial institution; Hash; Identity verification; IPFS; Know your customer; Decentralized finance","Conference paper","Final","","Scopus","2-s2.0-85208726264"
"Abbasi A.B.; Liu K.D.; Russell D.W.; Files D.C.; Thomas K.W.; Yousef F.; Gandotra S.; Discacciati A.; Lim N.; Asare A.L.; Eklund M.; Matthay M.; Esserman L.J.; Barragan A.B.; Dunn I.; Asare A.; Henderson P.; Lu R.; Levitt J.; Monteiro A.C.; Hayanga J.; Broderick K.; Mazza E.; Quill C.; Nelson K.; Hyzy R.; Zarrinpar A.; Remy K.; Lee R.A.; Escalona K.L.; Kett D.H.; Jordan C.; Bernstein M.; Samavedam S.; Nair S.; Suarez J.; Nates J.L.; Rodriguez-Vasquez A.; Huynh T.; Wei K.; Capetillo V.; Casciato A.M.; Vijhani P.; Moskowitz A.; Spainhour C.; Creel-Bulos C.; Swigart L.B.; Hurst-Hopf J.; Fields S.; Tanios M.A.; Suarez A.; Nguyen C.; Belvins D.; Youssef F.A.; Singer B.D.; Donnelly H.K.; Budinger G.R.S.; Wunderink R.G.; Shah U.; Sarafian F.; Robinson P.A.; Obermiller T.; Reilly J.P.; Mangalmurti N.S.; Ittner C.A.G.; Meyer N.J.; Daniel B.; Matthay M.A.; Wurfel M.M.; Martin T.R.; Kumar S.; Kazianis J.; Boerger L.; Koff J.; Yen A.; Wong S.F.; Khan K.; Gandotra S.; Patel S.; Methukupally A.; Harris D.; Russell D.W.; Friedman E.; Wynn A.; Parks L.; LaRose M.; Landreth L.; Gibbs K.W.; Thomas K.; Esserman L.; Eklund M.; Crippa A.; Hamed A.M.; Sonti R.; Cobb N.; Jauregui A.; Coleman M.; Calfee C.S.; Berger P.; Wahab R.; Serra A.L.; Schicchi J.; Rosen A.; Muir J.; Mittel A.M.; Madahar P.; Gosek K.; Garcia I.; Dzierba A.L.; Darmanian A.; Beitler J.R.; Adelman M.; Nugent K.; Harris G.; Detelich J.; Yang P.; Auld S.; Sandrock C.; Morrissey B.; Harper R.; Hardy E.; Haczku A.; Albertson T.; McKeehan J.; Higgins C.; Burnham E.L.; Aggarwal N.R.","Abbasi, Ali B. (57205327930); Liu, Kathleen D. (7404200673); Russell, Derek W. (56949745000); Files, D. Clark (35409081300); Thomas, Karl W. (57214123835); Yousef, Fady (60203743200); Gandotra, Sheetal (57201431280); Discacciati, Andrea (53463413800); Lim, Noha (60203382900); Asare, Adam L. (6602785702); Eklund, Martin (60203269700); Matthay, Michael (7102250237); Esserman, Laura J. (35376870500); Barragan, Alejandro Botello (58932497400); Dunn, Imogene (57205470347); Asare, Adam (60204098600); Henderson, Paul (57686718000); Lu, Ruixiao (57189842545); Levitt, Joseph (14121321800); Monteiro, Ana Costa (60203861800); Hayanga, Jermiah (60203383000); Broderick, Kristin (60203980500); Mazza, Emilio (60203861900); Quill, Caroline (55554304200); Nelson, Kristine (57699981900); Hyzy, Robert (6602466790); Zarrinpar, Ali (6603273455); Remy, Kenneth (55570093500); Lee, Richard A. (57817266100); Escalona, Karla Leon (60203743300); Kett, Daniel H. (6602190923); Jordan, Christopher (60203743400); Bernstein, Michael (60204098700); Samavedam, Sandya (60203269800); Nair, Siddharth (60203269900); Suarez, Jessica (42062189700); Nates, Joseph L. (35508645300); Rodriguez-Vasquez, Anna (60204098800); Huynh, Tracie (60203383100); Wei, Kenenth (60204098900); Capetillo, Vaney (60203508000); Casciato, Adrienne M. (60203624100); Vijhani, Praveen (56925347300); Moskowitz, Ari (55395002800); Spainhour, Christina (14322694300); Creel-Bulos, Christina (57205216390); Swigart, Lamorna Brown (6507055388); Hurst-Hopf, James (58578688800); Fields, Scott (7102919488); Tanios, Maged A. (7801559223); Suarez, Alexis (57732720600); Nguyen, Catherine (56683969200); Belvins, Daniel (58933174400); Youssef, Fady A. (57209332382); Singer, Benjamin D. (56058227200); Donnelly, Helen K. (6603812879); Budinger, G. R. Scott (6602168193); Wunderink, Richard G. (57668575800); Shah, Usman (58130888800); Sarafian, Farjad (6507060661); Robinson, Philip A. (57206183808); Obermiller, Timothy (57732720300); Reilly, John P. (25823415700); Mangalmurti, Nilam S. (26032208500); Ittner, Caroline A. G. (57192893208); Meyer, Nuala J. (14120298400); Daniel, Brian (7102039864); Matthay, Michael A. (57214020570); Wurfel, Mark M. (6603463643); Martin, Thomas R. (7403463437); Kumar, Santhi (57201336360); Kazianis, John (57732721000); Boerger, Lindsie (57732721100); Koff, Jonathan (15136075800); Yen, Albert (59787584600); Wong, Se Fum (57733219000); Khan, Kashif (57728076100); Gandotra, Sheetal (60203508100); Patel, Siddharth (57210581664); Methukupally, Abhishek (57463984100); Harris, Donna (58589755300); Russell, Derek W. (60203508200); Friedman, Eliot (57732967000); Wynn, Adina (57205205008); Parks, Lisa (57577457000); LaRose, Mary (57210874346); Landreth, Leigha (57577234200); Gibbs, Kevin W. (56538081300); Thomas, Karl (60204099000); Esserman, Laura (57209753384); Eklund, Martin (16033089900); Crippa, Alessio (56494620800); Hamed, Amen M. (60203270100); Sonti, Rajiv (55175500800); Cobb, Nathan (35106641700); Jauregui, Alejandra (57204193043); Coleman, Melissa (53986092000); Calfee, Carolyn S. (9535168300); Berger, Paul (57727938600); Wahab, Romina (55935732900); Serra, Alexis L. (57209196441); Schicchi, John (57199536058); Rosen, Amanda (57201983960); Muir, Justin (56392504400); Mittel, Aaron M. (56001119100); Madahar, Purnema (35724109400); Gosek, Katarzyna (60304606600); Garcia, Ivan (57218574536); Dzierba, Amy L. (35098522100); Darmanian, Anita (57731968800); Beitler, Jeremy R. (54388621100); Adelman, Max (60253846400); Nugent, Katherine (56198321900); Harris, Gavin (57222219463); Detelich, Joshua (53981265500); Yang, Philip (57203753624); Auld, Sara (24340616400); Sandrock, Christian (6506443320); Morrissey, Brian (6701693987); Harper, Richart (35512766500); Hardy, Erin (57731469600); Haczku, Angela (6603932291); Albertson, Timothy (7004446309); McKeehan, Jeff (57205653738); Higgins, Carrie (57205652145); Burnham, Ellen L. (6603239107); Aggarwal, Neil R. (11639519300)","57205327930; 7404200673; 56949745000; 35409081300; 57214123835; 60203743200; 57201431280; 53463413800; 60203382900; 6602785702; 60203269700; 7102250237; 35376870500; 58932497400; 57205470347; 60204098600; 57686718000; 57189842545; 14121321800; 60203861800; 60203383000; 60203980500; 60203861900; 55554304200; 57699981900; 6602466790; 6603273455; 55570093500; 57817266100; 60203743300; 6602190923; 60203743400; 60204098700; 60203269800; 60203269900; 42062189700; 35508645300; 60204098800; 60203383100; 60204098900; 60203508000; 60203624100; 56925347300; 55395002800; 14322694300; 57205216390; 6507055388; 58578688800; 7102919488; 7801559223; 57732720600; 56683969200; 58933174400; 57209332382; 56058227200; 6603812879; 6602168193; 57668575800; 58130888800; 6507060661; 57206183808; 57732720300; 25823415700; 26032208500; 57192893208; 14120298400; 7102039864; 57214020570; 6603463643; 7403463437; 57201336360; 57732721000; 57732721100; 15136075800; 59787584600; 57733219000; 57728076100; 60203508100; 57210581664; 57463984100; 58589755300; 60203508200; 57732967000; 57205205008; 57577457000; 57210874346; 57577234200; 56538081300; 60204099000; 57209753384; 16033089900; 56494620800; 60203270100; 55175500800; 35106641700; 57204193043; 53986092000; 9535168300; 57727938600; 55935732900; 57209196441; 57199536058; 57201983960; 56392504400; 56001119100; 35724109400; 60304606600; 57218574536; 35098522100; 57731968800; 54388621100; 60253846400; 56198321900; 57222219463; 53981265500; 57203753624; 24340616400; 6506443320; 6701693987; 35512766500; 57731469600; 6603932291; 7004446309; 57205653738; 57205652145; 6603239107; 11639519300","Systematic data capture reduces the need for source data verification: exploratory analysis from a phase 2 multicenter randomized controlled platform trial","2025","Communications Medicine","5","1","444","","","0","10.1038/s43856-025-01126-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022456332&doi=10.1038%2Fs43856-025-01126-9&partnerID=40&md5=d0f9f190338d0bae30df524d38c0daa2","Background: The COVID-19 pandemic gave rise to clinical trials focused on systematic, accurate primary data capture, and reduced reliance on source data verification (SDV). Here, we report on a natural experiment that allowed us to assess the quality, cost, and impact of this approach compared to traditional SDV. Methods: The I-SPY COVID trial (NCT04488081) was a multicenter, open-label, platform trial that employed a streamlined daily checklist, daily capture of labs and medications, and centralized monitoring to ensure accurate data collection in lieu of SDV. The trial enrolled 1,111 patients in 11 drug arms with severe COVID-19. After the trial arms were closed, extensive retrospective SDV was performed on 333 (30.0%) patients, including 10,101 of 44,486 (23%) electronic case report forms (eCRFs), allowing us to evaluate the impact of our strategy on data integrity, outcomes, and costs. Results: We find that retrospective SDV results in changes to 0.36% (1,234 / 340,532) of data fields. It results in no changes to the type of outcome recorded (death, recovery, or censored), but changes in the day of recovery in 9 instances, by a median of 2 days (range 1-7). Two additional AEs are added during SDV that had not previously been captured. Costs associated with retrospective SDV of 23% eCRFs are 61,073 person-hours at a cost of $6.1 M. Conclusions: Extensive SDV does not change any results or conclusions of the I-SPY COVID trial, which was designed with a systematic strategy for data capture, monitoring, and safety. This strategy could improve the efficiency of clinical trials and eliminate the need for manual SDV. © The Author(s) 2025.","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105022456332"
"Saghaei S.; Siemers M.; Ossetek K.L.; Richter S.; Edwards R.A.; Roux S.; Zielezinski A.; Dutilh B.E.; Marz M.; Cassman N.A.","Saghaei, Shahram (58620661600); Siemers, Malte (57201995640); Ossetek, Kilian L. (58964324100); Richter, Stephan (60338213600); Edwards, Robert A. (35560915600); Roux, Simon (53878363000); Zielezinski, Andrzej (36237685200); Dutilh, Bas E. (6602113179); Marz, Manja (23134902300); Cassman, Noriko A. (55372176600)","58620661600; 57201995640; 58964324100; 60338213600; 35560915600; 53878363000; 36237685200; 6602113179; 23134902300; 55372176600","VirJenDB: a FAIR (meta)data and bioinformatics platform for all viruses","2026","Nucleic Acids Research","54","1","","D912","D924","0","10.1093/nar/gkaf1224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027789570&doi=10.1093%2Fnar%2Fgkaf1224&partnerID=40&md5=0b93f9354ac89b6cfd823deff849fe57","High-throughput sequencing has generated an unprecedented volume of data. However, researcher-submitted data in repositories requires extensive curation and quality control for reuse. These tasks are hindered by the multiplicity of repositories, the sheer volume of the data, and the complexity of virus (meta)data curation. To address these challenges, VirJenDB offers a user-friendly platform to facilitate versioned, community-driven curation, and ontology development. Virus sequences were ingested from 16 sources, including ~200 fields of metadata or standards, covering taxonomy, sample, and host information. Up to 85 metadata fields have undergone at least one round of curation, and are linked to 15.4 million virus sequences, with 88 % from those infecting eukaryotes and the remaining infecting prokaryotes. Subsets were created, including a novel collection of 0.91 million viral operational taxonomic unit (vOTU) sequences across all viruses, while keeping the original sequences from each vOTU to facilitate downstream analyses, e.g. sequence variation. The VirJenDB web portal (https://www.virjendb.org) provides HTTPS and Application Programming Interface (API) access to the sequence datasets and metadata, offering a search engine, filtering, download, visualizations, and documentation. VirJenDB aims to connect the phage and eukaryotic virus research communities by supporting webtool integration, meta-analyses, and metadata schema extensions. © The Author(s) 2025. Published by Oxford University Press.","","Computational Biology; Data Curation; Databases, Genetic; Genome, Viral; High-Throughput Nucleotide Sequencing; Internet; Metadata; Software; Viruses; article; bacteriophage; bioinformatics; eukaryote; high throughput sequencing; human; meta analysis; metadata; nonhuman; ontology development; operational taxonomic unit; prokaryote; quality control; taxonomy; classification; genetic database; genetics; information processing; Internet; metadata; procedures; software; virus; virus genome","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027789570"
"Owsianowski J.; Bitsch V.","Owsianowski, Johannes (60157954100); Bitsch, Vera (8855188100)","60157954100; 8855188100","Linking consumers to producers in fair trade supply chains with the use of blockchain technology","2025","International Journal on Food System Dynamics","16","3","","280","296","1","10.1163/18696945-bja00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019947298&doi=10.1163%2F18696945-bja00013&partnerID=40&md5=65e7d0e013d76e3733cfa553096a1a11","Blockchain technology is increasingly applied in agricultural supply chains but remains underutilized in fair trade contexts. This research explores how blockchain technology can help (re)establish or strengthen the connection between fair trade producers and consumers despite multiple intermediaries and significant geographical distances. Through a literature review to identify consumer expectations regarding fair trade products and a case study in Bolivia on the producer level, this study introduces the concept of a “long-short” supply chain enabled by blockchain technology for agricultural fair trade networks. The paper also discusses managerial implications and potential applications of this approach. © JOHANNES OWSIANOWSKI AND VERA BITSCH, 2025.","consumer; fair-trade; logistic; quinoa","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105019947298"
"Mahjoub S.; Abbad H.","Mahjoub, Sonia (25653993400); Abbad, Hicham (55920023000)","25653993400; 55920023000","An Intelligent Fair and Decentralized Consensus Mechanism for Blockchain-Based Supply Chain","2025","IFAC-PapersOnLine","59","10","","244","249","0","10.1016/j.ifacol.2025.09.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018804182&doi=10.1016%2Fj.ifacol.2025.09.043&partnerID=40&md5=1f6791c53f9c17014c52d74e9bf1af6a","This study focuses on fairness and latency issues in blockchain-based supply chains. To address these challenges, a novel consensus framework is developed to ensure a decentralized and efficient transaction validation process. This framework consists of three mathematical models designed to optimize global payoff, payoff allocation, and transaction processing time within a selected network of validators. A reinforcement learning technique is applied to address the inherent complexity of the transaction-scheduling problem. Simulation results demonstrate the effectiveness of the proposed model by balancing resource utilization, ensuring fair payoff distribution, and reducing processing times. These findings highlight the potential of this approach for developing decentralized and scalable blockchain-based supply chain systems.  © 2025 The Authors.","blockchain; consensus mechanism; fairness; reinforcement learning; Supply chain","Decentralized systems; Information systems; Block-chain; Consensus mechanism; Decentralised; Decentralized consensus; Fairness; Processing time; Reinforcement learning techniques; Reinforcement learnings; Transaction processing; Validation process; Blockchain; Reinforcement learning; Supply chains","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018804182"
"Li K.","Li, Kuan (59444948800)","59444948800","Fuzzy Encryption Search Scheme and Data Verification Mechanism Based on Blockchain","2025","International Journal of Computational Intelligence Systems","18","1","93","","","1","10.1007/s44196-025-00804-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003858627&doi=10.1007%2Fs44196-025-00804-9&partnerID=40&md5=175e2144cb3477726206bc962926c4fa","With the development of blockchain technology, the security of blockchain data verification has received increasing attention. A fuzzy encryption search scheme and data verification mechanism are proposed in the study. First, privacy protection of the raw data is achieved through a hierarchical Mini Batch K-Means clustering algorithm and locally sensitive hash functions. Second, the study proposes a blockchain data verification mechanism that employs a fuzzy encryption search scheme, in conjunction with cloud storage and a fuzzy encryption algorithm. This mechanism is designed to ensure data integrity and confidentiality. When the number of attributes was 30, the initialization time cost of the proposed fuzzy encryption search scheme was 98 ms, which was reduced by about 51.6% compared to the blockchain-assisted sorting method. The encryption time cost of the proposed search method was 61 ms, which was reduced by about 35.6% compared to the multi-permission data access method. When the number of parallel transactions reached 1000, the transaction duration for smart contract Upload was 23.68 s, while the transaction duration for Search was 24.36 s. The proposed fuzzy encryption search scheme and data verification mechanism not only protect data privacy and ensure data integrity and confidentiality, but also have high search efficiency and low time overhead, providing better security for blockchain data. © The Author(s) 2025.","Blockchain; Fuzzy search; KMLSH; Mixed index; Smart contracts","Clustering algorithms; Hash functions; Block-chain; Data confidentiality; Data integrity; Data verification; Fuzzy searches; KMLSH; Mechanism-based; Mixed index; Search scheme; Time cost; Sensitive data","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003858627"
