"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Qin, X.; K.; Huang, Y.","Qin, Xuanmei (57197833340); Huang, Yongfeng (14627673100)","57197833340; 60408787600; 14627673100","MDCV: a decentralized and collusion-resistant consistency verification scheme for multi-cloud storage","2026","Cybersecurity","9","1","125","","","0","10.1186/s42400-026-00561-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030705908&doi=10.1186%2Fs42400-026-00561-y&partnerID=40&md5=553c2ea1e16e9b19aa08067b1e81b637","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030705908"
"Khan, A.A.; Baqasah, A.M.; Alsafyani, M.; Alsufyani, H.; Alhazmi, A.; Ullah, S.","Khan, Abdullah Ayub (57223873126); Baqasah, Abdullah M. (57433730800); Alsafyani, Majed (57215333357); Alsufyani, Hamed (57200409129); Alhazmi, Afnan (57948751600); Ullah, Sajid (57224544644)","57223873126; 57433730800; 57215333357; 57200409129; 57948751600; 57224544644","Blockchain for e-healthcare: a review on secure data management frameworks and future challenges","2026","Journal of Big Data","13","1","20","","","0","10.1186/s40537-025-01348-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029912432&doi=10.1186%2Fs40537-025-01348-7&partnerID=40&md5=5dededa4e9d6d39fbc9cc25d1ce53f81","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029912432"
"Kaier, K.; Engel, F.; Benadi, G.; Giuliani, C.; Watter, M.; Kalantari, A.; Schuller, K.; Franzke, C.-W.; Sperandio, M.; Binder, H.","Kaier, Klaus (24776207900); Engel, Felix (59757937500); Benadi, Gita (25225442600); Giuliani, Claudia (59757898100); Watter, Manuel (57189097840); Kalantari, Aref (60341032400); Schuller, Karin (60340771900); Franzke, Claus Werner (7004439651); Sperandio, Markus B. (7003559826); Binder, Harald (7202460535)","24776207900; 59757937500; 25225442600; 59757898100; 57189097840; 60341032400; 60340771900; 7004439651; 7003559826; 7202460535","Identification of biomedical entities from multiple repositories using a specialized metadata schema and search-augmented large language models","2026","BMC Research Notes","19","1","43","","","0","10.1186/s13104-026-07632-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028899031&doi=10.1186%2Fs13104-026-07632-w&partnerID=40&md5=a5ad38bbf3cfc90cb48844c9db1a3950","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028899031"
"Luo, L.; Zhang, Y.; Tang, Q.","Luo, Lixia (58789395600); Zhang, Yusha (55511742800); Tang, Qitao (58089428700)","58789395600; 55511742800; 58089428700","Semantic decentralized authentication for IoT-based e-learning using Hedera Hashgraph and Knowledge Graphs","2026","Scientific Reports","16","1","3225","","","0","10.1038/s41598-025-33206-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028437869&doi=10.1038%2Fs41598-025-33206-0&partnerID=40&md5=c87127123da22f24384125b89de18919","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028437869"
"Harby, A.A.; Zulkernine, F.; Abdulsalam, H.M.","Harby, Ahmed A. (57211426261); Zulkernine, Farhana H. (22735783200); Abdulsalam, Hanady M. (24477032800)","57211426261; 22735783200; 24477032800","Ai-guided vectorization for efficient storage and semantic retrieval of visual data","2026","Discover Artificial Intelligence","6","1","16","","","0","10.1007/s44163-025-00713-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027408604&doi=10.1007%2Fs44163-025-00713-y&partnerID=40&md5=29194e8b79ff7cb917d3e0294c7569ba","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027408604"
"Chefranova, A.V.; Kovach, V.P.; Volkov, A.V.; Lalomov, A.V.; Lavrishchev, V.A.; Chefranov, R.M.; Plotkina, Y.V.; Gorohovskiy, B.M.","Chefranova, A. V. (55612773900); Kovach, V. P. (15054509100); Volkov, Aleksander Vladimirovich (57223117706); Lalomov, A. V. (16313316900); Lavrishchev, Vladimir A. (9246185500); Chefranov, Roman M. (35174200700); Plotkina, Yu V. (6602524214); Gorohovskiy, B. M. (60333865200)","55612773900; 15054509100; 57223117706; 16313316900; 9246185500; 35174200700; 6602524214; 60333865200","Reconstruction of the Age of Provenances for the Rare Metal-Titanium Placers of the Upper Neogene Ergeninskaya Formation (Karpinsky Ridge, Epi-Hercynian Scythian Platform)","2026","Doklady Earth Sciences","526","1","7","","","0","10.1134/S1028334X25608909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027514756&doi=10.1134%2FS1028334X25608909&partnerID=40&md5=1a72112594eed9d425b15d17db62629f","Article","Final","","Scopus","2-s2.0-105027514756"
"T F, M.R.; Uma Mageswari, R.; S, J.N.K.; M M, G.A.","T F, Michael Raj (60380191400); Uma Mageswari, R. (60380655900); S, Jerald Nirmal Kumar (59162844000); M M, Gowthul Alam (59163763700)","60380191400; 60380655900; 59162844000; 59163763700","A blockchain-based healthcare architecture for secure data management and advanced prediction using an improved wild geese optimized natural extreme gradient boosting algorithm","2026","Sustainable Computing: Informatics and Systems","50","","101301","","","0","10.1016/j.suscom.2026.101301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029869394&doi=10.1016%2Fj.suscom.2026.101301&partnerID=40&md5=9f055f8c6063c21b7a5631c2c8edad31","Article","Final","","Scopus","2-s2.0-105029869394"
"Xue, X.; Wang, Z.; Zhao, C.; Qiao, Y.; Wang, P.; Wang, J.; Shi, J.; Liu, B.; Zhang, J.","Xue, Xiangxin (55725917400); Wang, Zhuo (57845991500); Zhao, Cuimei (55476878500); Qiao, Yu (56438651000); Wang, Ping (57226807790); Wang, Jing (58610587400); Shi, Jinghui (36100806400); Liu, Bo (59809291600); Zhang, Jie (58748692600)","55725917400; 57845991500; 55476878500; 56438651000; 57226807790; 58610587400; 36100806400; 59809291600; 58748692600","Ag aerogel/ZIF-8 nanocomposite as a sensitive and reproducible SERS platform for gaseous molecule detection","2026","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","353","","127610","","","0","10.1016/j.saa.2026.127610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030515023&doi=10.1016%2Fj.saa.2026.127610&partnerID=40&md5=e17f78d1070cbe031e3b242e7afc95ef","Article","Final","","Scopus","2-s2.0-105030515023"
"Xu, S.; Ding, Z.; Wei, Z.; Yang, C.P.; Li, Y.; Chen, X.; Wang, H.","Xu, Shuo (59986523400); Ding, Zhanyi (59637906300); Wei, Zijing (57892327200); Yang, Chao Peter (60178556100); Li, Yixiang (60285913800); Chen, Xuanjie (60374573200); Wang, Hailiang (60285423700)","59986523400; 59637906300; 57892327200; 60178556100; 60285913800; 60374573200; 60285423700","Beyond keywords: modeling the semantic complexity of deceptive communication on instant messaging platforms","2026","Journal of Computational Social Science","9","2","29","","","0","10.1007/s42001-026-00461-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029591549&doi=10.1007%2Fs42001-026-00461-8&partnerID=40&md5=9a7e344b2ceda8b9b9d76342a6edb74c","Article","Final","","Scopus","2-s2.0-105029591549"
"Wang, G.; Hu, J.; Pei, C.; Li, T.; Lyu, K.; Che, X.","Wang, Guoyu (59302099000); Hu, Juncheng (57216162696); Pei, Chenju (59302288900); Li, Tengfei (57213196428); Lyu, Kedi (57222865808); Che, Xilong (25648807400)","59302099000; 57216162696; 59302288900; 57213196428; 57222865808; 25648807400","Crash consistency in an NVM-enabled hybrid storage system: Problems, solutions, and verification","2026","Journal of Systems Architecture","174","","103705","","","0","10.1016/j.sysarc.2026.103705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029587177&doi=10.1016%2Fj.sysarc.2026.103705&partnerID=40&md5=4757705aff60045ebf6c920b1b07eaf6","Article","Final","","Scopus","2-s2.0-105029587177"
"Dönmez, C.; Specka, X.; Hoffmann, C.; Svoboda, N.; Blanchy, G.; Chenu, C.; Helming, K.","Dönmez, Cenk (22978913900); Specka, Xenia (37100432400); Hoffmann, Carsten (37016336700); Svoboda, Nikolai (55625249600); Blanchy, Guillaume (57194281498); Chenu, Claire C. (7005530394); Helming, Katharina (56353681600)","22978913900; 37100432400; 37016336700; 55625249600; 57194281498; 7005530394; 56353681600","Long-Term Field Experiments Overview Map: An interactive open-access metadata platform to enhance networking and data reuse","2026","Computers and Electronics in Agriculture","245","","111534","","","0","10.1016/j.compag.2026.111534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029575108&doi=10.1016%2Fj.compag.2026.111534&partnerID=40&md5=f911f5dae17fdd8cdda7f2ab5895c241","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029575108"
"Tan, X.; Xie, Q.; Han, L.; Wang, S.","Tan, Xiao (55331301200); Xie, Qi (35754191500); Han, Lidong (36161824400); Wang, Shengbao (8954179300)","55331301200; 35754191500; 36161824400; 8954179300","Public auditing with semantic secure data privacy for low-entropy files in cloud storage","2026","Computers and Security","163","","104826","","","0","10.1016/j.cose.2026.104826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028738196&doi=10.1016%2Fj.cose.2026.104826&partnerID=40&md5=8d1680a1d657f027491eef3c3bbb2c9b","Article","Final","","Scopus","2-s2.0-105028738196"
"Liu, L.; Wei, P.; Liu, S.; Wang, Z.; Hu, D.; Kou, Z.","Liu, Li (58185345700); Wei, Puwen (24484197800); Liu, Shuchang (60190347000); Wang, Zirui (60121589200); Hu, Da (60190444200); Kou, Zengjie (60190299600)","58185345700; 24484197800; 60190347000; 60121589200; 60190444200; 60190299600","Scalable batch verification of ECDSA for blockchain using IVC","2026","Frontiers of Computer Science","20","4","2004803","","","0","10.1007/s11704-025-41269-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021486652&doi=10.1007%2Fs11704-025-41269-5&partnerID=40&md5=e90ad9912c515537959a881ad8b52328","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021486652"
