"Study_ID","Title","Authors","Year","Source","DOI","URL","Research_Focus","System_Name","Blockchain_Platform","Storage_Integration","Permission_Model","Provenance_Model","maDMP_Support","Evaluation_Method","Key_Findings","Limitations","Quality_Score","MMAT_1_ClearRQ","MMAT_2_AppropriateMethod","MMAT_3_RigorousData","MMAT_4_SoundAnalysis","MMAT_5_Conclusions","MMAT_Overall","Quality_Rating"
"REV001","The Approach to Managing Provenance Metadata and Data Access Rights in","Demichev Andrey and Kryukov Alexander and Prikhodko Nikolai et al.",2018,"2018 IVANNIKOV ISPRAS OPEN CONFERENCE (ISPRAS)","10.1109/ISPRAS.2018.00028",NA,"Provenance","Provenance","Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV002","A Decentralized System for Medical Data Management via Blockchain","Yang Qingzhu and Liu Qiao and Lv Hairong et al.",2020,"JOURNAL OF INTERNET TECHNOLOGY","10.3966/160792642020092105010",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV003","A blockchain-based platform architecture for multimedia data management","Liu Yue and Lu Qinghua and Zhu Chunsheng and Yu Qiuyu et al.",2021,"MULTIMEDIA TOOLS AND APPLICATIONS","10.1007/s11042-021-10558-z",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV004","PROV-IO+: A Cross-Platform Provenance Framework for","Han Runzhou and Zheng Mai and Byna Suren and Tang Houjun and Dong et al.",2024,"IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS","10.1109/TPDS.2024.3374555",NA,"Provenance","Provenance","Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Can't tell","Can't tell",0.6,"Medium"
"REV005","A healthcare data management system: blockchain-enabled IPFS providing","Tiwari Kajal and Kumar Sanjay et al.",2025,"JOURNAL OF SUPERCOMPUTING","10.1007/s11227-025-07400-w",NA,"Blockchain","IPFS","Not specified","IPFS + blockchain","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV006","SciLedger: A Blockchain-based Scientific Workflow Provenance and Data","Hoopes Reagan and Hardy Hamilton and Long Min and Dagher Gaby G. et al.",2022,"2022 IEEE 8TH INTERNATIONAL CONFERENCE ON COLLABORATION AND INTERNET","10.1109/CIC56439.2022.00027",NA,"Blockchain; Provenance","Provenance","Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Can't tell","Can't tell","Yes","Can't tell",0.6,"Medium"
"REV007","Proposal of a Blockchain-Based Data Management System for Decentralized","Park Keundug and Youm Heung-Youl et al.",2025,"BIG DATA AND COGNITIVE COMPUTING","10.3390/bdcc9080212",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV008","Highly Reliable IoT Data Management Platform Using Blockchain and","Hasegawa Yuki and Yamamoto Hiroshi et al.",2020,"2020 IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS (ICCE)",NA,NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Can't tell","Can't tell","Yes","Can't tell",0.6,"Medium"
"REV009","SciBlock: A Blockchain-Based Tamper-Proof Non-Repudiable Storage for","Fernando Dinuni and Kulshrestha Siddharth and Herath J. Dinal and et al.",2019,"2019 IEEE 5TH INTERNATIONAL CONFERENCE ON COLLABORATION AND INTERNET","10.1109/CIC48465.2019.00019",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Can't tell","Can't tell","Can't tell","Can't tell",0.5,"Medium"
"REV010","Blockchain Based Provenance for Agricultural Products: A Distributed","Hua Jing and Wang Xiujuan and Kang Mengzhen and Wang Haoyu and Wang et al.",2018,"2018 IEEE INTELLIGENT VEHICLES SYMPOSIUM (IV)",NA,NA,"Blockchain; Provenance","Provenance","Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Can't tell","Can't tell","Can't tell","Can't tell",0.5,"Medium"
"REV011","Blockchain-based Metadata Protection for Archival Systems","LHutereate Arnaud and Burihabwa Dorian and Felber Pascal and Mercier et al.",2019,"2019 IEEE 38TH INTERNATIONAL SYMPOSIUM ON RELIABLE DISTRIBUTED SYSTEMS","10.1109/SRDS47363.2019.00044",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV012","Timestamping Metadata Using Blockchain: A Practical Approach","Kolydas Tassos et al.",2019,"METADATA AND SEMANTIC RESEARCH MTSR 2019","10.1007/978-3-030-36599-8\_42",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV013","A simulation provenance data management system for efficient job","Ma Jin and Lee Sik and Cho Kum Won and Suh Young-Kyoon et al.",2019,"CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND","10.1007/s10586-018-2827-2",NA,"Provenance","Provenance","Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV014","Towards Eidetic Blockchain Systems with Enhanced Provenance","Linoy Shlomi and Ray Suprio and Stakhanova Natalia et al.",2020,"2020 IEEE 36TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING WORKSHOPS","10.1109/ICDEW49219.2020.00-14",NA,"Blockchain; Provenance","Provenance","Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Can't tell","Can't tell",0.6,"Medium"
"REV015","A Survey of Blockchain Data Management Systems","Wei Qian and Li Bingzhe and Chang Wanli and Jia Zhiping and Shen et al.",2022,"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS","10.1145/3502741",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","User study",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV016","A Novel Distributed File System Using Blockchain Metadata","Kumar Deepa S. and Dija S. and Sumithra M. D. and Rahman M. Abdul et al.",2023,"WIRELESS PERSONAL COMMUNICATIONS","10.1007/s11277-022-10108-2",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
"REV017","Metadata Privacy Preservation for Blockchain-Based Healthcare Systems","Liu Lixin and Li Xinyu and Man Ho Au and Fan Zhuoya and Meng et al.",2022,"DATABASE SYSTEMS FOR ADVANCED APPLICATIONS DASFAA 2022 PT I","10.1007/978-3-031-00123-9\_33",NA,"Blockchain",NA,"Not specified","Not specified","Not specified","None","None","Not clear",NA,NA,NA,"Can't tell","Yes","Can't tell","Yes","Can't tell",0.7,"Medium"
