"Category","Combination","Count"
"Platform x Provenance Model","Fabric x PROV-O",0
"Platform x Provenance Model","Fabric x PROV-DM",0
"Platform x Provenance Model","Fabric x OPM",0
"Platform x Provenance Model","Fabric x Custom",0
"Platform x Provenance Model","Fabric x None",2
"Platform x Provenance Model","Iroha x PROV-O",0
"Platform x Provenance Model","Iroha x PROV-DM",0
"Platform x Provenance Model","Iroha x OPM",0
"Platform x Provenance Model","Iroha x Custom",0
"Platform x Provenance Model","Iroha x None",0
"Platform x Provenance Model","Ethereum x PROV-O",0
"Platform x Provenance Model","Ethereum x PROV-DM",0
"Platform x Provenance Model","Ethereum x OPM",0
"Platform x Provenance Model","Ethereum x Custom",0
"Platform x Provenance Model","Ethereum x None",2
"Platform x Provenance Model","Hyperledger x PROV-O",0
"Platform x Provenance Model","Hyperledger x PROV-DM",0
"Platform x Provenance Model","Hyperledger x OPM",0
"Platform x Provenance Model","Hyperledger x Custom",0
"Platform x Provenance Model","Hyperledger x None",1
"Platform x Provenance Model","BigchainDB x PROV-O",0
"Platform x Provenance Model","BigchainDB x PROV-DM",0
"Platform x Provenance Model","BigchainDB x OPM",0
"Platform x Provenance Model","BigchainDB x Custom",0
"Platform x Provenance Model","BigchainDB x None",0
"Platform x Provenance Model","Multi-chain x PROV-O",0
"Platform x Provenance Model","Multi-chain x PROV-DM",0
"Platform x Provenance Model","Multi-chain x OPM",0
"Platform x Provenance Model","Multi-chain x Custom",0
"Platform x Provenance Model","Multi-chain x None",0
"Platform x Provenance Model","Not specified x PROV-O",0
"Platform x Provenance Model","Not specified x PROV-DM",0
"Platform x Provenance Model","Not specified x OPM",18
"Platform x Provenance Model","Not specified x Custom",10
"Platform x Provenance Model","Not specified x None",151
