"Keyword","Frequency"
"data",975115
"blockchain",694536
"management",308919
"metadata",207072
"smart",191548
"provenance",159974
"security",158808
"learning",126505
"healthcare",111987
"storage",107479
"privacy",104582
"system",102864
"distributed",95946
"fair",93409
"open",91018
"digital",88574
"technology",87643
"cloud",83756
"internet",81048
"iot",80101
"health",79924
"verification",78870
"contract",77267
"things",76107
"sharing",75263
"decentralized",71454
"platform",70766
"reproducibility",70163
"contracts",70035
"computing",70023
