"Type","Count"
"",728
"All Open Access; Bronze Open Access",15
"All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access",4
"All Open Access; Gold Open Access",92
"All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access",8
"All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access",204
"All Open Access; Gold Open Access; Green Final Open Access; Green Open Access",1
"All Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access",2
"All Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access",4
"All Open Access; Green Accepted Open Access; Green Open Access",53
"All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access",33
"All Open Access; Green Final Open Access; Green Open Access",1
"All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access",1
"All Open Access; Green Open Access; Hybrid Gold Open Access",2
"All Open Access; Hybrid Gold Open Access",59
